id,lat,lon,name,street,zip_code,city
705765189,52.459232,13.31951,lanconference.de,Rothenburgstraße 41,12163,Berlin
1232688398,52.4862836,13.3599205,CoWoS,Kolonnenstraße 8,10827,Berlin
1244345598,52.5144051,13.4185717,DB mindbox,Holzmarktstraße 6-9,10179,Berlin
1784674880,52.5432379,13.4142133,Office Club,Pappelallee 78/79,10437,Berlin
3605164303,52.4868855,13.4328002,Weserland Coworking Berlin,Weserstraße 21,12045,Berlin
3768830257,52.4865993,13.3556933,Roof Up,Akazienstraße 3,10823,Berlin
4225752737,52.5340487,13.3704077,Amapola Coworking,Scharnhorststraße 24,10115,Berlin
4306070496,52.5123455,13.3901333,mindspace,Friedrichstraße 68,10117,Berlin
4476799907,52.5246687,13.4046902,WeWork Hackescher Markt,Neue Schönhauser Straße 3-5,10178,Berlin
4498449571,52.4740867,13.4265893,D.Collective,Okerstraße 45,12049,Berlin
5103564057,52.5412201,13.3906028,Ahoy! Berlin,Wattstraße 11,13355,Berlin
5367928671,52.4916086,13.3603987,rent24,Potsdamer Straße 188,10783,Berlin
6251995790,52.5496879,13.3699523,Cultivation Space,Gottschedstrasse 4,13357,Berlin
6311537150,52.5483986,13.4265789,Happy Pigeons Co-working,,,
6403066082,52.5065726,13.3916017,betahaus,Rudi-Dutschke-Straße 23,10969,Berlin
6753987908,52.5294474,13.4133499,KUGU Home GmbH,Straßburger Straße 9F,10405,Berlin
6915842784,52.4759286,13.4437324,Unicorn Village,Richardstraße 85/86,12043,Berlin
7126670562,52.4867628,13.355594,Space Shack,Akazienstraße 3a,10823,Berlin
7310118044,52.5418663,13.4253802,Wonder,Prenzlauer Allee 186,10405,Berlin
8919934740,52.5603927,13.3771781,,,,
9577860884,52.5419344,13.372268,Werkstatt23,Schönwalder Straße 23,13347,Berlin
10064479039,52.5079141,13.3914391,Mindspace,,,
10133253469,52.5598431,13.3771763,,,,
10133253470,52.5537046,13.3745881,,,,
10741548148,52.4791394,13.4326669,Rollwerk,Rollbergstraße 28a,12053,Berlin
11051017210,52.4930571,13.3835322,UMA Hub,Großbeerenstraße 60,,
11285466133,52.4846237,13.4493869,workish.berlin,,,
